3 0 0 0 0 0 0
5 0 0 0 0 0 0
10 0 0 0 0 0 0
20 0 0 0 0 0 0
50 0 0 0 0 0 0
100 0.01 0.01 0.01 0 0 0
200 0.04 0.04 0.04 0 0 0
500 0.25 0.24 0.24 0.06 0.06 0.06
1000 1.69 1.71 1.7 1.48 1.47 1.4
1500 3.48 3.48 3.46 7.23 7.21 7.15
2000 5.84 5.84 5.82 18.98 18.95 19.08
2500 8.83 8.84 8.86 39.46 39.29 39.33
3000 12.44 12.46 12.44 73.17 70.29 73.69
4000 21.45 21.4 21.45 200.71 200.16 200.15
